FJ2334	Lateral proper palmar digital artery of left middle finger
FJ2335	Lateral proper palmar digital artery of left ring finger
FJ2336	Lateral proper palmar digital artery of left little finger
FJ2337	Left fourth common palmar digital artery
FJ2338	Left arteria princeps pollicis
FJ2339	Left arteria princeps pollicis
FJ2342	Right arteria radialis indicis
FJ2343	Right first common palmar digital artery
FJ2344	Right second common palmar digital artery
FJ2345	Right third common palmar digital artery
FJ2346	Set of dorsal digital arteries
FJ2347	Set of dorsal metacarpal arteries
FJ2348	Set of dorsal metacarpal arteries
FJ2361	Pectoral branch of right thoraco-acromial artery
FJ2362	Middle collateral branch of right deep brachial artery
FJ2363	Right arteria radialis indicis
FJ2364	Medial proper palmar digital artery of right index finger
FJ2365	Lateral proper palmar digital artery of right middle finger
FJ2366	Lateral proper palmar digital artery of right ring finger
FJ2367	Medial proper palmar digital artery of right middle finger
FJ2368	Lateral proper palmar digital artery of right little finger
FJ2369	Medial proper palmar digital artery of right ring finger
FJ2370	Right fourth common palmar digital artery
FJ2371	Right arteria princeps pollicis
FJ2372	Right arteria princeps pollicis
FJ2373	Right superior ulnar collateral artery
FJ2374	Left superior ulnar collateral artery
FJ2386	Caudate lobe branch of right hepatic artery
FJ2394	Right lobe branch of right hepatic artery
FJ2562	Splenic artery
FJ2631	Trunk of anterior interventricular branch of left coronary artery
FJ2632	First right anterior branch of anterior interventricular branch of left coronary artery
FJ2633	Diagonal branch of anterior descending branch of left coronary artery
FJ2634	Diagonal branch of anterior descending branch of left coronary artery
FJ2635	Diagonal branch of anterior descending branch of left coronary artery
FJ2636	Diagonal branch of anterior descending branch of left coronary artery
FJ2637	Diagonal branch of anterior descending branch of left coronary artery
FJ2638	Diagonal branch of anterior descending branch of left coronary artery
FJ2639	Diagonal branch of anterior descending branch of left coronary artery
FJ2640	Diagonal branch of anterior descending branch of left coronary artery
FJ2641	Third right anterior branch of anterior interventricular branch of left coronary artery
FJ2642	Diagonal branch of anterior descending branch of left coronary artery
FJ2643	Conus branch of anterior interventricular branch of left coronary artery
FJ2644	Conus branch of anterior interventricular branch of left coronary artery
FJ2645	First right anterior branch of anterior interventricular branch of left coronary artery
FJ2646	Second right anterior branch of anterior interventricular branch of left coronary artery
FJ2647	Third right anterior branch of anterior interventricular branch of left coronary artery
FJ2648	Diagonal branch of anterior descending branch of left coronary artery
FJ2649	Circumflex branch of left coronary artery
FJ2650	Circumflex branch of left coronary artery
FJ2651	Circumflex branch of left coronary artery
FJ2652	Circumflex branch of left coronary artery
FJ2653	Circumflex branch of left coronary artery
FJ2654	Circumflex branch of left coronary artery
FJ2667	Marginal branch of right coronary artery
FJ2668	Marginal branch of right coronary artery
FJ2670	Right conus artery
FJ2671	First anterior ventricular branch of right coronary artery
FJ2672	Marginal branch of right coronary artery
FJ2673	First anterior ventricular branch of right coronary artery
FJ2674	Marginal branch of right coronary artery
FJ2675	Marginal branch of right coronary artery
FJ2676	Right conus artery
FJ2677	First anterior ventricular branch of right coronary artery
FJ2692	Posterior interventricular branch of right coronary artery
FJ2693	Posterior interventricular branch of right coronary artery
FJ2694	Posterior interventricular branch of right coronary artery
FJ2695	Posterior interventricular branch of right coronary artery
FJ2696	Posterior interventricular branch of right coronary artery
FJ2697	Posterior interventricular branch of right coronary artery
FJ2698	Posterior interventricular branch of right coronary artery
FJ2699	Posterior interventricular branch of right coronary artery
FJ2700	Posterior interventricular branch of right coronary artery
FJ2714	First posterior ventricular branch of right coronary artery
FJ2715	First posterior ventricular branch of right coronary artery
FJ2716	First posterior ventricular branch of right coronary artery
FJ2717	First posterior ventricular branch of right coronary artery
FJ2718	First posterior ventricular branch of right coronary artery
FJ2719	First posterior ventricular branch of right coronary artery
FJ2720	First posterior ventricular branch of right coronary artery
FJ2721	First posterior ventricular branch of right coronary artery
FJ2722	First posterior ventricular branch of right coronary artery
FJ2723	Trunk of right coronary artery
FJ2732	Septal branch of anterior interventricular artery
FJ2733	Septal branch of anterior interventricular artery
FJ2734	Septal branch of anterior interventricular artery
FJ2735	First septal branch of right posterior interventricular artery
FJ2736	Second septal branch of right posterior interventricular artery
FJ2737	Trunk of left coronary artery
FJ2881	Left posterior basal segmental artery
FJ2882	Left lateral basal segmental artery
FJ2883	Left anterior basal segmental artery
FJ2884	Left medial basal segmental artery
FJ2885	Left medial basal segmental artery
FJ2886	Left anterior basal segmental artery
FJ2887	Left anterior basal segmental artery
FJ2888	Left superior segmental artery
FJ2889	Left superior segmental artery
FJ2890	Left superior segmental artery
FJ2891	Left superior segmental artery
FJ2892	Left posterior basal segmental artery
FJ2893	Left superior segmental artery
FJ2894	Left superior segmental artery
FJ2895	Left superior segmental artery
FJ2896	Inferior lingular artery
FJ2897	Inferior lingular artery
FJ2898	Superior lingular artery
FJ2899	Superior lingular artery
FJ2900	Superior lingular artery
FJ2901	Superior lingular artery
FJ2902	Left anterior segmental artery
FJ2903	Left posterior basal segmental artery
FJ2904	Left anterior segmental artery
FJ2905	Left anterior segmental artery
FJ2906	Left anterior segmental artery
FJ2907	Left anterior segmental artery
FJ2908	Left anterior segmental artery
FJ2909	Left anterior segmental artery
FJ2910	Left anterior segmental artery
FJ2911	Left posterior segmental artery
FJ2912	Left posterior segmental artery
FJ2913	Left posterior segmental artery
FJ2914	Left posterior basal segmental artery
FJ2915	Left apical segmental artery
FJ2916	Left apical segmental artery
FJ2917	Left apical segmental artery
FJ2918	Left apical segmental artery
FJ2919	Left posterior basal segmental artery
FJ2920	Left posterior basal segmental artery
FJ2921	Left lateral basal segmental artery
FJ2922	Left lateral basal segmental artery
FJ2923	Left lateral basal segmental artery
FJ2924	Left pulmonary artery
FJ2966	Pulmonary trunk
FJ2967	Apical part of right apical segmental artery
FJ2968	Apical part of right posterior segmental artery
FJ2969	Apical part of right posterior segmental artery
FJ2970	Posterior part of right posterior segmental artery
FJ2971	Posterior part of right posterior segmental artery
FJ2972	Posterior part of right posterior segmental artery
FJ2973	Right upper lobar artery
FJ2974	Posterior branch of right anterior segmental artery
FJ2975	Anterior branch of right anterior segmental artery
FJ2976	Anterior branch of right anterior segmental artery
FJ2977	Anterior branch of right anterior segmental artery
FJ2978	Anterior part of right apical segmental artery
FJ2979	Anterior branch of right anterior segmental artery
FJ2980	Posterior branch of right anterior segmental artery
FJ2981	Posterior branch of right anterior segmental artery
FJ2982	Anterior branch of lateral segmental artery
FJ2983	Posterior branch of lateral segmental artery
FJ2984	Posterior branch of lateral segmental artery
FJ2985	Anterior branch of lateral segmental artery
FJ2986	Superior branch of medial segmental artery
FJ2987	Inferior branch of medial segmental artery
FJ2988	Inferior branch of medial segmental artery
FJ2989	Anterior part of right apical segmental artery
FJ2990	Superior branch of medial segmental artery
FJ2991	Lateral branch of right superior segmental artery
FJ2992	Lateral branch of right superior segmental artery
FJ2993	Lateral branch of right superior segmental artery
FJ2994	Medial branch of right superior segmental artery
FJ2995	Medial branch of right superior segmental artery
FJ2996	Medial branch of right superior segmental artery
FJ2997	Superior branch of right superior segmental artery
